@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,8,1,5,3,0.375,84,T1,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,84,T7,V,26,49,2,no
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,no
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,no
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,no
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,84,T1,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,84,T7,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,no
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,84,T12,V,26,49,2,yes
1,0,1,8,1,5,3,0.375,81,T12,V,25,45,2,no
1,0,1,8,1,5,3,0.375,81,T12,V,25,45,2,yes
1,0,1,8,1,5,3,0.375,81,T12,V,25,45,2,no
1,0,1,8,1,5,3,0.375,81,T12,V,25,45,2,no
1,0,1,8,1,5,3,0.375,81,T12,V,25,45,2,no
1,0,1,8,1,5,3,0.375,81,T12,V,25,45,2,no
1,0,1,4,1,5,3,0.375,24,T7,method,4,11,2,yes
1,0,1,4,1,5,3,0.375,24,T7,method,4,11,2,yes
1,0,1,4,1,5,3,0.375,24,T9,method,4,11,2,yes
1,0,1,4,1,5,3,0.375,150,T7,method,17,28,2,yes
1,0,1,4,1,5,3,0.375,150,T7,method,17,28,2,yes
1,0,1,4,1,5,3,0.375,150,T9,method,17,28,2,yes
1,0,1,6,1,5,3,0.375,27,T3,[B,2,4,2,yes
1,0,1,6,1,5,3,0.375,27,T3,[B,2,4,2,yes
1,0,1,6,1,5,3,0.375,27,T3,[B,2,4,2,yes
1,0,1,6,1,5,3,0.375,27,T5,[B,2,4,2,yes
1,0,1,6,1,5,3,0.375,27,T9,[B,2,4,2,yes
1,0,1,6,1,5,3,0.375,27,T10,[B,2,4,2,yes
1,0,1,6,1,5,3,0.375,27,T10,[B,2,4,2,yes
1,0,1,3,1,5,3,0.375,219,T9,method,18,30,2,yes
1,0,1,3,1,5,3,0.375,3,T7,I,1,1,2,no
1,0,1,3,1,5,3,0.375,3,T9,I,1,1,2,no
1,0,1,3,1,5,3,0.375,21,T9,method,6,14,2,no
1,0,1,3,1,5,3,0.375,21,T9,method,6,14,2,yes
1,0,1,3,1,5,3,0.375,45,T9,method,14,24,2,yes
1,0,1,3,1,5,3,0.375,27,T9,method,7,16,2,yes
1,0,1,3,1,5,3,0.375,15,T7,method,4,8,2,yes
1,0,1,3,1,5,3,0.375,15,T9,method,4,8,2,yes
1,0,1,3,1,5,3,0.375,21,T9,method,6,14,2,yes
1,0,1,3,1,5,3,0.375,21,T9,method,6,14,2,yes
1,0,2,3,1,5,3,0.375,30,T6,method,9,22,2,yes
1,0,2,3,1,5,3,0.375,30,T7,method,9,22,2,yes
1,0,2,3,1,5,3,0.375,30,T8,method,9,22,2,yes
1,0,2,3,1,5,3,0.375,30,T9,method,9,22,2,yes
1,0,1,3,1,5,3,0.375,21,T1,method,6,14,2,yes
1,0,1,3,1,5,3,0.375,21,T7,method,6,14,2,yes
1,0,1,3,1,5,3,0.375,21,T7,method,6,14,2,no
1,0,1,3,1,5,3,0.375,21,T9,method,6,14,2,no
1,0,1,3,1,5,3,0.375,21,T9,method,6,14,2,no
1,0,3,20,3,5,3,0.375,12,T1,[B,3,7,2,yes
1,0,3,20,3,5,3,0.375,12,T1,[B,3,7,2,yes
1,0,3,20,3,5,3,0.375,0,T1,[B,0,0,2,no
1,0,3,20,3,5,3,0.375,12,T7,[B,3,7,2,yes
1,0,3,20,3,5,3,0.375,12,T7,[B,3,7,2,yes
1,0,3,20,3,5,3,0.375,12,T9,[B,3,7,2,yes
1,0,3,20,3,5,3,0.375,0,T9,[B,0,0,2,no
1,0,3,20,3,5,3,0.375,12,T10,[B,3,7,2,yes
1,0,3,20,3,5,3,0.375,12,T10,[B,3,7,2,no
1,0,3,20,3,5,3,0.375,12,T10,[B,3,7,2,no
1,0,3,20,3,5,3,0.375,12,T10,[B,3,7,2,no
1,0,1,3,1,5,3,0.375,87,T3,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,87,T3,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,87,T6,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,87,T6,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,87,T7,Z,9,22,2,no
1,0,1,3,1,5,3,0.375,87,T7,Z,9,22,2,no
1,0,1,3,1,5,3,0.375,87,T8,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,87,T8,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,87,T9,Z,9,22,2,yes
1,0,1,3,1,5,3,0.375,15,T3,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T3,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T6,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T6,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T7,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T7,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T8,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T8,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T9,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T3,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T3,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T6,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T6,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T6,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T6,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T7,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T7,Z,2,9,2,no
1,0,1,3,1,5,3,0.375,15,T7,Z,2,9,2,no
1,0,1,3,1,5,3,0.375,15,T7,Z,2,9,2,no
1,0,1,3,1,5,3,0.375,15,T8,Z,2,9,2,yes
1,0,1,3,1,5,3,0.375,15,T8,Z,2,9,2,no
1,0,1,3,1,5,3,0.375,15,T8,Z,2,9,2,no
1,0,1,3,1,5,3,0.375,15,T8,Z,2,9,2,no
1,0,1,3,1,5,3,0.375,15,T9,Z,2,9,2,yes
1,0,3,8,2,5,3,0.375,144,T0,[B,26,49,2,no
1,0,3,8,2,5,3,0.375,0,T1,[B,0,0,2,no
1,0,3,8,2,5,3,0.375,144,T3,[B,26,49,2,no
