@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,2,6,1,1,1,0.5,1,T1,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,2,T6,method,2,2,1,yes
1,0,2,6,1,1,1,0.5,2,T7,method,2,2,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T7,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,2,T8,method,2,2,1,yes
1,0,2,6,1,1,1,0.5,1,T9,method,1,1,1,yes
1,0,2,6,1,1,1,0.5,1,T9,method,1,1,1,yes
1,0,1,3,1,1,1,0.5,17,T9,method,12,12,1,yes
1,0,1,6,1,1,1,0.5,2,T1,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T3,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T3,method,1,1,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,0,0,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,1,1,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,1,1,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,1,1,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,1,1,1,yes
1,0,1,6,1,1,1,0.5,2,T7,method,1,1,1,yes
1,0,1,6,1,1,1,0.5,2,T9,method,1,1,1,yes
1,0,1,4,1,1,1,0.5,10,T7,method,6,6,1,yes
1,0,1,4,1,1,1,0.5,10,T9,method,6,6,1,yes
1,0,1,4,1,1,1,0.5,31,T7,method,14,14,1,yes
1,0,1,4,1,1,1,0.5,31,T9,method,14,14,1,yes
1,0,1,4,1,1,1,0.5,29,T7,method,14,14,1,yes
1,0,1,4,1,1,1,0.5,29,T9,method,14,14,1,yes
1,0,1,4,1,1,1,0.5,9,T1,method,0,0,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,0,0,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,0,0,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,0,0,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,0,0,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,0,0,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,2,2,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,2,2,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,2,2,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,2,2,1,yes
1,0,1,4,1,1,1,0.5,9,T7,method,2,2,1,yes
1,0,1,4,1,1,1,0.5,9,T9,method,2,2,1,yes
1,0,1,5,1,1,1,0.5,0,T7,method,0,0,1,no
1,0,1,5,1,1,1,0.5,0,T7,method,0,0,1,no
1,0,1,5,1,1,1,0.5,0,T7,method,0,0,1,no
1,0,1,5,1,1,1,0.5,0,T9,method,0,0,1,no
1,0,1,4,1,1,1,0.5,95,T1,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T7,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T7,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T7,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T7,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T7,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T7,method,4,4,1,yes
1,0,1,4,1,1,1,0.5,95,T9,method,4,4,1,yes
1,0,1,3,1,1,1,0.5,105,T7,method,28,28,1,yes
1,0,1,3,1,1,1,0.5,105,T9,method,28,28,1,yes
1,0,1,4,1,1,1,0.5,3,T7,method,3,3,1,yes
1,0,1,4,1,1,1,0.5,3,T9,method,3,3,1,yes
1,0,3,19,3,1,1,0.5,1,T1,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T6,method,1,1,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,2,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,1,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,1,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,1,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,1,T7,method,0,0,1,yes
1,0,3,19,3,1,1,0.5,1,T7,method,1,1,1,yes
1,0,3,19,3,1,1,0.5,2,T8,method,1,1,1,yes
1,0,3,19,3,1,1,0.5,1,T9,method,1,1,1,yes
1,0,6,15,1,1,1,0.5,22,T1,method,5,5,1,yes
1,0,6,15,1,1,1,0.5,1,T3,method,1,1,1,yes
1,0,6,15,1,1,1,0.5,1,T3,method,1,1,1,yes
1,0,6,15,1,1,1,0.5,73,T6,method,18,18,1,yes
1,0,6,15,1,1,1,0.5,70,T6,method,18,18,1,yes
1,0,6,15,1,1,1,0.5,48,T6,method,17,17,1,yes
1,0,6,15,1,1,1,0.5,46,T6,method,17,17,1,yes
