@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,3,1,70,7,0.091,16,T3,method,2,20,0,no
1,0,1,3,1,70,7,0.091,16,T7,method,2,20,0,yes
1,0,1,3,1,70,7,0.091,16,T9,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,40,T0,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,38,T0,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,28,T0,method,2,20,0,no
1,0,9,28,2,70,7,0.091,28,T0,method,2,20,0,no
1,0,9,28,2,70,7,0.091,28,T0,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,15,T0,method,1,8,0,no
1,0,9,28,2,70,7,0.091,14,T0,method,1,8,0,no
1,0,9,28,2,70,7,0.091,2,T1,method,0,0,0,yes
1,0,9,28,2,70,7,0.091,13,T1,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,1,T1,method,0,0,0,yes
1,0,9,28,2,70,7,0.091,3,T1,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T1,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,40,T3,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,28,T3,method,2,20,0,no
1,0,9,28,2,70,7,0.091,10,T3,method,1,8,0,no
1,0,9,28,2,70,7,0.091,28,T3,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,13,T3,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,13,T3,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,15,T3,method,1,8,0,no
1,0,9,28,2,70,7,0.091,14,T3,method,1,8,0,no
1,0,9,28,2,70,7,0.091,3,T3,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T3,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,28,T5,method,2,20,0,no
1,0,9,28,2,70,7,0.091,28,T5,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,10,T5,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,10,T5,method,1,8,0,no
1,0,9,28,2,70,7,0.091,13,T5,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,14,T5,method,1,8,0,no
1,0,9,28,2,70,7,0.091,14,T5,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,3,T5,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T5,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T5,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,43,T6,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,40,T6,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,38,T6,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,28,T6,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,28,T6,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,28,T6,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,15,T6,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,14,T6,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,38,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,28,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,2,T7,method,0,0,0,yes
1,0,9,28,2,70,7,0.091,28,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,10,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,13,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,13,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,13,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,13,T7,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,14,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,3,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,3,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,3,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,3,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,3,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T7,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,43,T8,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,3,T9,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,10,T9,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,13,T9,method,2,20,0,yes
1,0,9,28,2,70,7,0.091,3,T9,method,1,8,0,yes
1,0,9,28,2,70,7,0.091,11,T9,method,1,8,0,yes
1,0,5,16,2,70,7,0.091,12,T0,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,12,T0,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T1,method,0,0,0,yes
1,0,5,16,2,70,7,0.091,12,T3,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T3,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T3,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T3,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T3,method,0,0,0,yes
1,0,5,16,2,70,7,0.091,12,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,6,T5,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,14,T6,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,14,T6,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,12,T6,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,12,T6,method,1,14,0,yes
1,0,5,16,2,70,7,0.091,14,T7,method,1,14,0,no
